"Идентификатор";"Наименование";"Тип ошибки";"Статус достоверности предоставленной информации";"Статус информации о начислении по услуге";"Статус информации по жилищным условиям";"Статус информации о составе семьи";"Статус информации о долге"
"0";"Недопустимые символы в поле ""Лицевой счет""";"Критичная";"Недостоверна";"Недостоверна";"Недостоверна";"Недостоверна";"Недостоверна"
"1";"Наличие групп ЖКУ, относящихся к разным ОСЗН";"Критичная";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать"
"2";"Некорректный размер начисленных сумм";"Некритичная";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать"
"3";"Отсутствие информации по задолженности";"Некритичная";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать";"Недостоверна"
"4";"Некорректная информация по площади помещения";"Некритичная";"Актуализировать";"Актуализировать";"Недостоверна";"Актуализировать";"Актуализировать"
"5";"Некорректный код жилищного фонда";"Некритичная";"Актуализировать";"Актуализировать";"Недостоверна";"Актуализировать";"Актуализировать"
"6";"Начисления по услуге ""Найм жилого помещения"" при частном типе владения";"Некритичная";"Актуализировать";"Актуализировать";"Недостоверна";"Актуализировать";"Актуализировать"
"7";"Начисления по услуге ""Капитальный ремонт"" при муницпиальном/государственном типах владения";"Некритичная";"Актуализировать";"Актуализировать";"Недостоверна";"Актуализировать";"Актуализировать"
"8";"Наличие сумм по взаимоисключающим видам услуг ""Содержание и ремонт общ. имущества""";"Некритичная";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать"
"9";"Наличие сумм по взаимоисключающим видам услуг: ""Кап. ремонт"" и ""Найм жил. помещения""";"Некритичная";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать"
"10";"Наличие сумм по взаимоисключающим видам услуг: ""Вывоз мусора"" c чел. и с площади";"Некритичная";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать"
"11";"Наличие сумм по услуге ""Горячее водоснабжение"" по разным компонентам";"Некритичная";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать"
"12";"Наличие сумм по услуге ""Водоотведение"" по разным компонентам";"Некритичная";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать"
"13";"""Отопление"" без норматива";"Некритичная";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать"
"14";"""Отопление"" без тарифа";"Некритичная";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать"
"15";"Несоответствие размерности данных по услуге ""Отопление""";"Некритичная";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать"
"16";"""Горячее водоснабжение"" без норматива";"Некритичная";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать"
"17";"""Горячее водоснабжение"" без тарифа";"Некритичная";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать"
"18";"Несоответствие размерности данных по услуге ""Горячее водоснабжение""";"Некритичная";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать"
"19";"""Подогрев воды"" без норматива";"Некритичная";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать"
"20";"""Подогрев воды"" без тарифа";"Некритичная";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать"
"21";"""Вода для подогрева"" без норматива";"Некритичная";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать"
"22";"""Вода для подогрева"" без тарифа";"Некритичная";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать"
"23";"""Холодное водоснабжение"" без норматива";"Некритичная";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать"
"24";"""Холодное водоснабжение"" без тарифа";"Некритичная";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать"
"25";"""Подогрев воды"" Завышенный норматив по услуге";"Некритичная";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать"
"26";"Пересекающиеся лицевые счета";"Некритичная";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать"
"27";"""Подогрев воды"" не верная размерность в тарифе";"Некритичная";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать"
"28";"Некорректный норматив ТКО";"Некритичная";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать"
"29";"""Отопление"" не верная размерность норматива";"Некритичная";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать";"Актуализировать"
